apple: 苹果
state: 陈述
express: 表达
show: 流露
feel: 体会
sense: 察觉
experience: 经历
suffer: 遭受
enjoy: 享受
like: 喜爱
dislike: 反感
hate: 憎恨
fear: 惧怕
dread: 畏惧
worry: 挂念
care: 在意
mind: 介意
regret: 抱歉
miss: 想念
love: 热爱
respect: 尊敬
admire: 钦佩
trust: 信任
doubt: 怀疑
suspect: 猜疑
know: 认识
understand: 懂
realize: 意识到
recognize: 认出
remember: 回忆
forget: 遗忘
remind: 提醒
memorize: 熟记
think: 认为
believe: 以为
suppose: 料想
imagine: 想象
guess: 猜想
wonder: 想知道
consider: 考虑
regard: 视为
view: 看待
judge: 判断
decide: 下决心
choose: 选用
select: 选拔
prefer: 宁愿
agree: 赞同
disagree: 反对
accept: 领受
refuse: 拒绝
decline: 谢绝
allow: 许可
permit: 准许
forbid: 严禁
prevent: 阻止
stop: 拦截
keep: 阻止
help: 帮忙
assist: 协助
support: 支撑
serve: 款待
treat: 对待
use: 利用
handle: 处理
deal with: 应对
manage: 经营
run: 管理
lead: 统治
direct: 指导
guide: 引领
follow: 遵循
obey: 服从
break: 违反
violate: 侵犯
change: 替换
replace: 替代
exchange: 交换
trade: 交易
sell: 售卖
buy: 购入
pay: 缴费
cost: 值钱
value: 重视
price: 定价
mark: 标示
label: 贴标签
tag: 标记
sign: 签名
stamp: 盖章
print: 打印
copy: 复制
cut: 剪辑
paste: 粘贴
delete: 删除
save: 保存
store: 存盘
send: 寄送
receive: 接收
get: 收到
post: 邮寄
mail: 发邮件
phone: 打电话
call: 通话
ring: 响铃
answer: 接听
hang up: 挂断
talk: 谈话
listen: 聆听
watch: 观看
view: 观赏
see: 见证
show: 放映
play: 播放
record: 录制
stop: 暂停
pause: 中止
repeat: 重复
continue: 接着
finish: 结束
complete: 搞定
close: 封存
open: 解封
start: 启动
end: 终止
